|                                   col0_1 |                                    col0_2 |         aperture_sum_3 |       aperture_sum_4 |       aperture_sum_5 |
|  2622.9981799980196 .. 501.1767969970028 |  279.1069700333129 .. -23.930740334967265 |      2.568791807585761 |                  inf |                  inf |
|  2603.7984563292443 .. 501.9187519609887 |  279.10720120930824 .. -23.93073216134328 |   -0.41696580988885285 |                  inf |                  inf |
|  3265.303152418156 .. 502.15502828875293 |   279.0992362912792 .. -23.93072963729228 |     2.3379930565313334 |  -2.2367329739091204 |   -4.574726030440454 |
|   2945.06510164785 .. 506.18194974658377 |   279.1030921512626 .. -23.93068533311978 |     0.1080737576683667 |    -5.83334565248776 |   -5.941419410156127 |
|   2642.685300416462 .. 506.8437186945654 | 279.10673298600915 .. -23.930677975202595 |     0.9881516828955634 |                  inf |                  inf |
|  2865.0619741761193 .. 508.3023873241204 | 279.10405543671305 .. -23.930661985090246 |    -0.7324775934301292 |   -5.573903380880864 |   -4.841425787450735 |
|   3058.198892108057 .. 507.6887475823785 | 279.10172995224514 .. -23.930668755905643 |     -2.660418882419257 |   -7.461933946993299 |   -4.801515064574042 |
|    2680.77019300673 .. 509.2734358632028 |  279.1062744200405 .. -23.930651248961716 |    0.21753547137899928 |   -5.759397908897349 |   -5.976933380276349 |
|  2799.7724166169974 .. 509.2605741044006 | 279.10484156193684 .. -23.930651425928172 |     -6.418142171760982 |  -10.482605597697008 |   -4.064463425936026 |
| 2912.2719831862796 .. 509.35549490259837 |  279.1034869996993 .. -23.930650402536344 |    -1.9589860446256173 |   -6.900727818036404 |  -4.9417417734107865 |
|    3136.24281711624 .. 509.0934900399668 |   279.1007902565878 .. -23.93065329302962 |     0.7072509965397872 |  -5.5621904724208875 |   -6.269441468960674 |
|  2618.0384651825552 .. 510.0724164593208 |  279.1070297472853 .. -23.930642431721388 |     1.0255738662758909 |                  inf |                  inf |
| 2786.1002609256166 .. 510.51640310466166 | 279.10500618253803 .. -23.930637601441955 |     -1.015455091687041 |   -4.641711745386438 |  -3.6262566536993965 |
|   3079.661121143917 .. 515.0477364856386 | 279.10147153427334 .. -23.930587765931694 |    -2.6783932715774177 |   -7.561080235339588 |    -4.88268696376217 |
|  2659.2116141204137 .. 515.7195954890609 | 279.10653399562057 .. -23.930580297571943 |      2.104650397077632 |                  inf |                  inf |
|   3121.142451140561 .. 515.9343142666363 |  279.1009720744958 .. -23.930578006983243 |     1.6169592744734007 |    -5.28604719182976 |   -6.903006466303161 |
|   2859.943580217533 .. 518.4195551326716 |  279.1041170632006 .. -23.930550639125517 |     0.8116335197255689 |   -5.573548871752876 |   -6.385182391478445 |
|   3041.9200671763265 .. 519.044511279879 |  279.1019259589014 .. -23.930543779330584 |    0.02003868433894502 |   -5.841708473567665 |    -5.86174715790661 |
|   3315.333430663962 .. 521.0858331567747 |   279.0986339013768 .. -23.93052128238519 |    -0.4396167095454807 |   -5.890430542800347 |   -5.450813833254866 |
|   2803.387643243225 .. 521.7408626327189 |   279.1047980291896 .. -23.93051407431701 |    -0.8774923161749242 |   -5.909912340192149 |   -5.032420024017226 |
|  2948.6810380690877 .. 521.7772275415041 | 279.10304861146903 .. -23.930513698835735 |     0.2758858424241132 |   -5.781889405699671 |   -6.057775248123784 |
|   3233.000126625168 .. 522.6707871962327 |  279.0996252430018 .. -23.930503855824494 |    -0.7734038088907895 |   -6.218099951584627 |   -5.444696142693838 |
|  2934.2121942424324 .. 525.1013014237277 | 279.10322282441695 .. -23.930477113988466 |     0.3610124024434259 |   -5.768902241552666 |   -6.129914643996091 |
|  2854.9474981161165 .. 527.1022534215675 |  279.1041772171742 .. -23.930455080289896 |    -3.3122605979038533 |   -8.410406966358554 |   -5.098146368454701 |
|  3024.8548554601066 .. 530.3077183994143 |   279.10213143373306 .. -23.9304198211192 |    0.12145709912519273 |   -5.777111621576455 |   -5.898568720701648 |
|   3193.760490669956 .. 531.5786769580336 | 279.10009771244756 .. -23.930405825307908 |    0.21748570824213964 |   -5.778710987026706 |  -5.9961966952688455 |
|  2604.6574971835917 .. 533.0628575186054 |   279.1071908514756 .. -23.93038940359945 |  -0.017255248855664835 |                  inf |                  inf |
|   2583.758107622931 .. 534.5721197743674 |   279.1074424914098 .. -23.93037278424998 |  -0.005205110570732414 |                  inf |                  inf |
|  3321.9964059870695 .. 535.2230979242559 | 279.09855367907403 .. -23.930365692333098 |      -2.36741189993268 |   -7.161555232971864 |   -4.794143333039184 |
|  2900.3803918138547 .. 539.2699356074551 |  279.1036301767685 .. -23.930321175880906 |     -2.910791315406019 |   -7.773969386832596 |   -4.863178071426577 |
|   3124.303527450135 .. 538.7906898354427 |    279.100934014829 .. -23.93032645973203 |    -1.3740014142578694 |   -6.515008979130805 |   -5.141007564872935 |
|  2823.3353217735857 .. 543.1960998713889 |   279.1045578422863 .. -23.93027795213046 |     -0.882454606221952 |   -6.244331000595956 |   -5.361876394374004 |
|    3273.21672821481 .. 542.7367384654369 | 279.09914101600003 .. -23.930283011549786 |    -1.4241729634682447 |  -6.5815051764567585 |   -5.157332212988514 |
|   3113.178508831166 .. 545.7264011108838 | 279.10106796678184 .. -23.930250129031403 |     1.2020479336558074 |   -5.357701572384618 |   -6.559749506040426 |
|   2727.149786464119 .. 547.0246256622984 | 279.10571596914815 .. -23.930235791616816 |    -2.1576145519845276 |   -7.019440863761326 |   -4.861826311776799 |
|  3031.1259218193095 .. 548.0648423481102 |   279.1020559259897 .. -23.93022439431968 |    -0.5226824563190468 |   -6.073585511589792 |   -5.550903055270745 |
|  2544.9165631560923 .. 548.9302858174298 |   279.1079101583325 .. -23.93021474671986 |      4.004535562063298 |                  inf |                  inf |
|    3319.122278521778 .. 548.933723066053 |  279.0985882888927 .. -23.930214800027464 |     -6.433822393832895 |   -9.679699731486652 |  -3.2458773376537566 |
|  3305.0263545549255 .. 549.9423435664875 |    279.09875801195 .. -23.930203702967273 |     -0.825929715395915 |   -3.645532202011001 |   -2.819602486615086 |
|  2656.8583273145646 .. 550.4865612961747 |  279.1065623163081 .. -23.930197666998396 |     2.8602581671630727 |  -2.1244098542469025 |   -4.984668021409975 |
|  3004.0091683637033 .. 550.8718260279684 |  279.1023824267253 .. -23.930193500895427 |      1.145269197618265 |   -5.489951554807884 |   -6.635220752426148 |
|   2883.226480012942 .. 552.3028583815667 |    279.1038367172938 .. -23.9301777386888 |      -2.15507960749908 |   -7.004460137028246 |   -4.849380529529166 |
